`error404_title`,`Page introuvable`
`error404_content`,`<p>La page demandée n'existe pas ou n'existe plus.</p>`

`error503_title`,`Service temporairement indisponible`
`error503_content`,`<p>Le serveur est temporairement indisponible en raison d'une opération de maintenance ou d'un problème technique.</p>`

`upgrade_title`,`Service temporairement indisponible`
`upgrade_content`,`<p>Le serveur est temporairement indisponible en raison d'une opération de maintenance.</p>`

`report_title`,`Il y a eu une erreur lors du traitement de votre demande`
`report_content`,`<p>Le serveur est temporairement indisponible en raison d'un problème technique.</p>`

`Error number: §`,`Erreur numéro : §`
